[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=127
YRANGE=127
NAME=a_1 x a_2
XTITLE=a_1
YTITLE=a_2

[DATA]
30	5	1
24	6	1
28	6	1
29	6	2
30	6	3
31	6	2
32	6	3
34	6	1
35	6	1
21	7	1
22	7	1
23	7	1
24	7	1
26	7	2
27	7	4
28	7	1
29	7	1
31	7	2
32	7	1
34	7	1
35	7	2
36	7	1
37	7	2
22	8	1
25	8	1
26	8	2
27	8	2
29	8	2
31	8	3
32	8	3
33	8	3
34	8	1
35	8	1
39	8	1
17	9	1
22	9	1
26	9	2
27	9	1
29	9	3
30	9	2
31	9	2
33	9	1
34	9	3
35	9	1
42	9	1
24	10	1
25	10	2
26	10	2
28	10	1
29	10	2
30	10	1
31	10	5
35	10	1
40	10	1
42	10	1
23	11	1
24	11	1
25	11	1
26	11	1
27	11	2
30	11	3
31	11	1
33	11	1
44	11	1
23	12	1
24	12	1
25	12	1
28	12	3
29	12	2
30	12	1
31	12	1
33	12	1
38	12	2
40	12	1
43	12	1
14	13	2
25	13	2
26	13	3
27	13	2
28	13	2
29	13	1
30	13	1
32	13	3
36	13	1
37	13	1
43	13	1
23	14	1
28	14	2
29	14	2
30	14	2
31	14	1
32	14	2
33	14	2
34	14	1
35	14	1
37	14	1
42	14	1
20	15	1
22	15	1
24	15	2
25	15	2
27	15	1
30	15	2
31	15	2
32	15	1
33	15	2
37	15	1
39	15	1
40	15	1
9	16	1
12	16	1
25	16	3
26	16	1
27	16	2
29	16	2
30	16	2
31	16	2
32	16	1
41	16	1
18	17	1
20	17	1
26	17	3
27	17	1
28	17	1
29	17	2
32	17	1
37	17	1
40	17	1
42	17	1
21	18	1
22	18	1
24	18	1
25	18	1
26	18	1
27	18	1
28	18	1
29	18	1
30	18	3
32	18	1
41	18	1
12	19	1
15	19	1
20	19	1
25	19	1
27	19	2
28	19	1
30	19	1
31	19	2
32	19	1
33	19	1
34	19	1
35	19	2
38	19	1
42	19	1
13	20	1
14	20	1
23	20	1
24	20	1
26	20	1
29	20	1
30	20	2
31	20	1
32	20	1
33	20	2
39	20	1
9	21	1
15	21	2
25	21	1
26	21	1
27	21	1
28	21	7
29	21	2
30	21	2
32	21	4
33	21	2
34	21	3
47	21	1
50	21	1
8	22	1
13	22	1
19	22	1
20	22	1
25	22	2
26	22	3
29	22	4
30	22	1
31	22	2
33	22	2
34	22	1
35	22	1
36	22	1
39	22	1
41	22	1
47	22	1
22	23	1
23	23	1
24	23	2
27	23	2
28	23	3
30	23	2
32	23	4
34	23	1
35	23	1
22	24	1
24	24	1
26	24	4
27	24	5
28	24	2
29	24	2
30	24	2
32	24	2
33	24	5
34	24	1
43	24	2
16	25	1
19	25	1
23	25	1
25	25	2
26	25	5
27	25	1
28	25	3
29	25	2
30	25	3
31	25	2
32	25	2
33	25	1
34	25	2
36	25	2
42	25	2
47	25	1
11	26	1
25	26	1
27	26	6
28	26	2
29	26	4
30	26	2
31	26	1
32	26	1
35	26	1
41	26	1
42	26	1
44	26	1
49	26	1
6	27	1
22	27	1
25	27	2
26	27	2
27	27	3
28	27	2
29	27	3
30	27	2
31	27	3
32	27	5
33	27	2
34	27	2
39	27	1
7	28	1
10	28	1
21	28	1
25	28	3
26	28	3
27	28	1
29	28	3
30	28	2
31	28	4
32	28	4
33	28	5
35	28	2
37	28	1
45	28	1
6	29	1
8	29	1
10	29	1
12	29	1
23	29	2
24	29	1
25	29	1
26	29	4
27	29	5
28	29	5
29	29	3
30	29	2
31	29	3
32	29	1
34	29	2
35	29	1
37	29	1
9	30	1
16	30	1
21	30	1
26	30	2
27	30	1
28	30	1
29	30	3
30	30	3
31	30	2
32	30	1
33	30	1
36	30	1
39	30	1
44	30	1
11	31	1
23	31	1
25	31	5
26	31	3
27	31	4
29	31	3
30	31	4
31	31	4
32	31	1
34	31	1
35	31	3
37	31	2
39	31	1
51	31	1
12	32	1
13	32	1
15	32	1
17	32	1
19	32	1
22	32	1
25	32	3
26	32	1
27	32	6
28	32	2
29	32	2
30	32	2
31	32	4
33	32	1
34	32	1
40	32	2
44	32	1
51	32	1
6	33	1
7	33	3
8	33	1
11	33	1
18	33	2
23	33	2
25	33	1
26	33	1
27	33	2
28	33	3
29	33	4
30	33	2
31	33	2
32	33	4
33	33	1
36	33	1
44	33	2
47	33	1
49	33	1
50	33	1
8	34	1
16	34	1
17	34	1
18	34	1
20	34	1
24	34	1
25	34	2
26	34	2
27	34	2
28	34	1
29	34	2
30	34	2
31	34	2
32	34	1
33	34	5
34	34	3
35	34	1
7	35	1
15	35	2
19	35	1
26	35	2
27	35	1
28	35	1
30	35	3
31	35	1
32	35	4
33	35	4
34	35	1
38	35	1
42	35	1
44	35	1
45	35	1
46	35	1
50	35	1
7	36	1
17	36	1
21	36	2
24	36	1
26	36	2
27	36	4
28	36	3
29	36	1
32	36	2
34	36	1
41	36	1
42	36	1
48	36	1
49	36	1
50	36	2
10	37	1
13	37	2
17	37	1
27	37	3
28	37	2
29	37	1
30	37	4
31	37	2
32	37	5
36	37	2
42	37	1
43	37	1
10	38	1
16	38	1
24	38	1
25	38	5
26	38	1
27	38	4
28	38	3
29	38	3
31	38	2
32	38	3
40	38	1
41	38	1
46	38	1
8	39	1
11	39	1
19	39	1
23	39	1
25	39	1
27	39	3
28	39	3
29	39	2
30	39	2
31	39	1
32	39	1
34	39	1
35	39	1
36	39	1
38	39	1
41	39	1
47	39	1
49	39	2
10	40	1
17	40	2
19	40	1
20	40	1
23	40	1
24	40	1
25	40	1
26	40	1
27	40	2
28	40	2
29	40	2
30	40	1
31	40	2
32	40	1
33	40	1
46	40	1
47	40	2
10	41	2
12	41	1
18	41	1
25	41	1
26	41	2
27	41	2
28	41	1
29	41	3
30	41	1
31	41	2
32	41	2
34	41	1
38	41	1
40	41	1
47	41	2
48	41	1
14	42	1
18	42	1
25	42	1
27	42	1
28	42	1
29	42	1
30	42	1
32	42	1
35	42	1
40	42	1
41	42	1
45	42	1
12	43	1
20	43	1
24	43	1
26	43	1
27	43	1
29	43	1
30	43	2
