[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=127
YRANGE=127
NAME=a_1 x a_2
XTITLE=a_1
YTITLE=a_2

[DATA]
27	6	3
28	6	4
29	6	2
30	6	1
33	6	1
21	7	1
24	7	1
27	7	2
28	7	1
29	7	3
31	7	1
37	7	1
23	8	1
25	8	1
26	8	1
27	8	2
28	8	1
29	8	1
30	8	1
33	8	3
34	8	1
20	9	1
26	9	1
27	9	2
28	9	3
29	9	2
30	9	1
33	9	2
34	9	1
39	9	1
15	10	1
17	10	2
26	10	1
27	10	1
29	10	3
30	10	2
31	10	1
34	10	1
41	10	1
18	11	1
25	11	1
28	11	1
30	11	4
31	11	1
32	11	2
33	11	1
35	11	2
36	11	1
22	12	1
27	12	1
28	12	1
29	12	3
30	12	2
31	12	4
32	12	1
34	12	2
44	12	1
12	13	1
14	13	1
26	13	1
28	13	2
29	13	1
30	13	1
31	13	4
32	13	1
46	13	1
13	14	1
19	14	1
24	14	1
25	14	1
26	14	3
29	14	1
30	14	2
31	14	2
33	14	1
37	14	1
11	15	1
25	15	1
26	15	1
27	15	1
28	15	4
29	15	1
30	15	2
32	15	1
33	15	1
34	15	1
45	15	1
47	15	1
11	16	1
26	16	1
27	16	1
28	16	2
30	16	1
31	16	2
34	16	1
37	16	1
40	16	1
45	16	1
8	17	1
11	17	1
25	17	1
26	17	1
30	17	3
33	17	1
36	17	1
38	17	1
47	17	1
16	18	1
23	18	1
27	18	2
28	18	1
31	18	2
32	18	2
33	18	1
35	18	1
8	19	1
26	19	2
30	19	2
31	19	1
32	19	1
33	19	1
24	20	2
25	20	2
27	20	2
28	20	3
29	20	1
30	20	1
31	20	4
32	20	3
33	20	1
8	21	1
23	21	1
27	21	1
28	21	1
29	21	1
32	21	3
33	21	1
34	21	2
35	21	1
7	22	1
25	22	2
26	22	1
28	22	1
29	22	1
30	22	1
31	22	3
32	22	3
33	22	1
46	22	1
48	22	1
50	22	1
6	23	1
26	23	2
28	23	2
29	23	2
30	23	1
31	23	2
32	23	2
33	23	1
36	23	1
37	23	1
9	24	1
24	24	2
25	24	1
27	24	4
28	24	2
29	24	4
31	24	3
32	24	1
33	24	1
34	24	1
35	24	1
49	24	1
7	25	1
12	25	1
27	25	1
28	25	5
30	25	2
31	25	4
32	25	3
33	25	2
34	25	2
39	25	1
6	26	1
11	26	1
18	26	1
25	26	1
26	26	2
27	26	3
28	26	4
29	26	3
30	26	5
31	26	1
32	26	2
33	26	3
37	26	1
38	26	1
42	26	1
24	27	2
25	27	2
26	27	2
27	27	4
28	27	2
29	27	1
30	27	4
31	27	7
32	27	3
33	27	3
47	27	1
49	27	1
13	28	1
22	28	1
24	28	1
26	28	2
27	28	1
28	28	4
29	28	2
30	28	2
31	28	4
32	28	4
37	28	1
39	28	1
6	29	1
17	29	1
18	29	1
20	29	1
25	29	1
26	29	1
28	29	2
29	29	1
30	29	5
31	29	3
32	29	4
33	29	2
45	29	1
10	30	1
18	30	1
24	30	1
25	30	1
26	30	2
28	30	2
30	30	5
31	30	1
32	30	1
33	30	4
45	30	1
47	30	1
6	31	1
9	31	1
16	31	1
19	31	1
24	31	1
25	31	1
28	31	1
29	31	4
31	31	3
33	31	1
34	31	1
36	31	1
42	31	1
8	32	1
24	32	1
27	32	4
28	32	2
29	32	3
31	32	3
32	32	1
34	32	2
35	32	1
13	33	1
22	33	1
25	33	2
26	33	2
27	33	5
29	33	1
30	33	4
31	33	3
32	33	1
34	33	1
35	33	1
36	33	1
46	33	1
6	34	1
8	34	3
25	34	1
26	34	1
29	34	2
30	34	2
31	34	3
32	34	1
33	34	1
34	34	1
35	34	1
39	34	1
45	34	1
50	34	1
12	35	1
15	35	2
17	35	1
18	35	1
24	35	1
26	35	1
27	35	2
29	35	4
30	35	3
31	35	1
33	35	1
48	35	1
51	35	1
8	36	1
18	36	1
27	36	2
29	36	3
30	36	2
31	36	6
32	36	1
33	36	1
34	36	2
35	36	1
36	36	1
39	36	1
41	36	1
45	36	1
50	36	1
10	37	1
19	37	1
26	37	2
27	37	3
29	37	3
30	37	2
31	37	1
32	37	1
33	37	2
35	37	1
39	37	1
42	37	1
10	38	1
17	38	1
25	38	2
26	38	3
28	38	2
29	38	2
30	38	2
31	38	2
32	38	1
33	38	3
34	38	3
40	38	1
8	39	1
9	39	2
26	39	1
27	39	1
29	39	3
30	39	2
34	39	1
10	40	1
11	40	1
18	40	1
23	40	1
27	40	4
29	40	2
30	40	2
31	40	3
32	40	1
33	40	1
35	40	1
47	40	1
15	41	1
24	41	1
25	41	3
27	41	3
28	41	1
30	41	2
31	41	3
32	41	3
35	41	2
12	42	1
19	42	1
30	42	2
31	42	1
32	42	2
33	42	1
38	42	1
41	42	1
42	42	1
13	43	1
24	43	1
25	43	1
26	43	3
27	43	2
29	43	2
30	43	2
46	43	1
25	44	2
28	44	4
30	44	2
31	44	1
32	44	1
35	44	1
38	44	1
42	44	1
21	45	1
22	45	1
26	45	1
28	45	1
30	45	2
31	45	1
34	45	1
45	45	1
26	46	2
29	46	1
31	46	2
32	46	2
33	46	1
36	46	1
16	47	1
19	47	1
26	47	2
29	47	2
30	47	1
32	47	2
28	48	1
31	48	1
26	49	1
28	49	1
29	49	1
30	49	1
25	50	2
26	50	2
30	50	1
31	50	1
32	50	1
36	50	1
24	51	1
27	51	1
28	51	2
29	51	2
30	51	1
31	51	1
34	51	1
