[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=127
YRANGE=127
NAME=a_1 x a_2
XTITLE=a_1
YTITLE=a_2

[DATA]
30	6	1
34	7	1
39	8	1
16	9	1
25	9	1
31	9	1
35	9	1
40	9	1
17	10	1
18	10	1
25	10	1
33	10	1
18	11	1
27	11	1
30	11	1
35	11	1
43	11	1
13	12	1
13	13	1
15	13	1
32	13	1
11	14	2
21	14	1
23	14	1
34	14	3
42	14	1
10	15	1
11	15	1
15	15	1
16	16	1
25	16	1
35	16	1
36	16	1
42	16	1
48	16	1
13	17	1
42	17	1
44	17	1
48	17	1
49	17	2
10	18	1
19	18	1
31	18	1
32	18	1
35	18	1
42	18	1
44	18	1
9	19	1
46	19	1
47	19	1
23	20	1
33	20	1
40	20	1
50	20	1
44	21	1
49	21	1
50	21	1
25	22	1
28	22	1
14	23	1
17	23	1
36	23	1
42	23	1
46	23	1
28	24	1
41	24	1
28	25	1
36	25	1
7	26	1
9	26	1
9	27	2
37	27	2
46	27	1
6	28	1
7	28	1
8	28	1
10	28	1
11	28	1
17	28	2
21	28	1
35	28	1
51	28	1
18	29	1
41	29	1
49	29	1
5	30	1
6	30	1
9	30	2
14	30	1
17	30	1
18	30	1
20	30	1
21	30	1
25	30	1
33	30	1
35	30	1
47	30	1
48	30	1
5	31	1
21	31	1
23	31	1
24	31	1
49	31	1
6	32	1
15	32	1
31	32	1
33	32	1
42	32	1
51	32	1
22	33	1
41	33	1
43	33	2
44	33	1
49	33	1
51	33	1
13	34	1
18	34	1
20	34	1
46	34	1
51	34	1
8	35	1
12	35	1
25	35	1
39	35	1
40	35	1
47	35	1
49	35	1
9	36	1
10	36	1
13	36	2
15	36	1
19	36	1
26	36	1
36	36	1
44	36	1
50	36	1
7	37	2
22	37	1
25	37	1
39	37	1
48	37	2
49	37	1
11	38	2
13	38	1
8	39	1
9	39	3
15	39	1
17	39	2
38	39	1
39	39	1
25	40	1
34	40	1
38	40	1
40	40	1
44	40	1
48	40	3
14	41	1
40	41	1
44	41	1
17	42	1
31	42	1
17	43	1
34	43	1
36	43	1
43	43	1
46	43	1
12	44	1
20	44	1
34	44	1
24	46	1
39	46	1
43	46	1
30	47	1
36	47	1
40	47	1
25	48	1
26	48	1
31	48	1
18	49	1
34	49	1
24	50	1
36	50	1
27	51	1
29	51	2
