foil_ID, species, incident energy [keV], kF [keV*degrees], sig_kF [keV*degrees], psi_half [degrees], sigma [degrees], sig_sigma [degrees], kappa, sig_kappa
B06b, H, 5.000000, 18.197023, 0.642830, 3.620762, 3.949229, 0.005408, 1.854591, 0.005319
B06b, H, 10.000000, 18.197023, 0.642830, 1.844895, 2.023789, 0.002565, 1.967921, 0.004357
B06b, H, 15.000000, 18.197023, 0.642830, 1.241605, 1.360222, 0.001772, 1.940174, 0.004082
B06b, H, 20.000000, 18.197023, 0.642830, 0.917536, 1.004086, 0.001358, 1.917202, 0.004012
SN056, H, 5.000000, 16.706387, 0.388320, 3.234751, 3.527174, 0.004144, 1.849033, 0.003928
SN056, H, 10.000000, 16.706387, 0.388320, 1.670837, 1.830717, 0.002101, 1.943210, 0.003540
SN056, H, 15.000000, 16.706387, 0.388320, 1.126243, 1.234068, 0.001587, 1.944377, 0.003805
SN056, H, 20.000000, 16.706387, 0.388320, 0.853162, 0.932948, 0.001084, 1.902072, 0.003402
SN057, H, 5.000000, 15.916115, 0.474847, 3.084595, 3.362870, 0.004508, 1.845775, 0.004464
SN057, H, 10.000000, 15.916115, 0.474847, 1.563450, 1.712038, 0.002150, 1.931496, 0.003771
SN057, H, 15.000000, 15.916115, 0.474847, 1.078364, 1.181420, 0.001440, 1.940656, 0.003630
SN057, H, 20.000000, 15.916115, 0.474847, 0.822639, 0.899426, 0.001118, 1.899025, 0.003679
01SN5, H, 5.000000, 18.833115, 0.236776, 3.729117, 4.087138, 0.007576, 1.949418, 0.007667
01SN5, H, 10.000000, 18.833115, 0.236776, 1.861380, 2.040023, 0.003687, 1.948730, 0.005875
01SN5, H, 15.000000, 18.833115, 0.236776, 1.270123, 1.392766, 0.002512, 1.960115, 0.005957
01SN5, H, 20.000000, 18.833115, 0.236776, 0.951284, 1.043087, 0.002232, 1.958556, 0.006821
03SN5, H, 5.000000, 19.455524, 0.069453, 3.907408, 4.284050, 0.007719, 1.956545, 0.007907
03SN5, H, 10.000000, 19.455524, 0.069453, 1.943169, 2.135765, 0.003432, 2.008622, 0.005609
03SN5, H, 15.000000, 19.455524, 0.069453, 1.298657, 1.423881, 0.002764, 1.957257, 0.006353
03SN5, H, 20.000000, 19.455524, 0.069453, 0.968694, 1.062641, 0.002066, 1.967388, 0.006151
B06b, H, 5.000000, 18.197023, 0.642830, 3.513445, 3.821912, 0.005781, 1.806611, 0.005324
B06b, H, 10.000000, 18.197023, 0.642830, 1.844181, 2.021697, 0.002537, 1.954236, 0.004227
B06b, H, 15.000000, 18.197023, 0.642830, 1.238623, 1.356912, 0.003492, 1.939526, 0.008354
B06b, H, 20.000000, 18.197023, 0.642830, 0.921797, 1.008982, 0.001616, 1.921952, 0.004935
B06b, H, 5.000000, 18.197023, 0.642830, 3.595799, 3.922668, 0.003405, 1.857814, 0.003335
03SN1, H, 10.000000, 15.749329, 0.570802, 1.632867, 1.788063, 0.002643, 1.930893, 0.004674
03SN1, H, 15.000000, 15.749329, 0.570802, 1.077767, 1.178251, 0.001791, 1.895644, 0.004412
03SN1, H, 20.000000, 15.749329, 0.570802, 0.765307, 0.834607, 0.001723, 1.851263, 0.005502
03SN1, H, 5.000000, 15.749329, 0.570802, 3.045407, 3.317385, 0.005416, 1.830151, 0.005650
B06b, H, 10.000000, 18.197023, 0.642830, 1.735501, 1.901351, 0.002997, 1.941233, 0.004966
B06b, H, 15.000000, 18.197023, 0.642830, 1.155427, 1.263895, 0.001918, 1.908058, 0.004367
B06b, H, 20.000000, 18.197023, 0.642830, 0.877027, 0.957909, 0.001719, 1.879546, 0.005208
B06b, H, 5.000000, 18.197023, 0.642830, 3.349260, 3.652435, 0.006733, 1.851060, 0.006988
01SN1, H, 5.000000, 10.693021, 0.337660, 2.049029, 2.210556, 0.002741, 1.671280, 0.002939
01SN1, H, 10.000000, 10.693021, 0.337660, 1.075644, 1.166726, 0.001340, 1.756577, 0.002761
01SN1, H, 15.000000, 10.693021, 0.337660, 0.737056, 0.799073, 0.000898, 1.747903, 0.002692
01SN1, H, 20.000000, 10.693021, 0.337660, 0.536529, 0.580189, 0.000785, 1.702494, 0.003130
01SN2, H, 5.000000, 18.764711, 0.125188, 3.723394, 4.080848, 0.004655, 1.949323, 0.004633
01SN2, H, 10.000000, 18.764711, 0.125188, 1.871161, 2.051594, 0.002252, 1.957519, 0.003632
01SN2, H, 15.000000, 18.764711, 0.125188, 1.259776, 1.380633, 0.001805, 1.947936, 0.004020
01SN2, H, 20.000000, 18.764711, 0.125188, 0.941743, 1.031651, 0.001231, 1.938900, 0.003583
01SN3, H, 5.000000, 18.490532, 0.277767, 3.623192, 3.951596, 0.004873, 1.853219, 0.004678
01SN3, H, 10.000000, 18.490532, 0.277767, 1.850866, 2.028378, 0.001993, 1.947466, 0.003165
01SN3, H, 15.000000, 18.490532, 0.277767, 1.252016, 1.372002, 0.001539, 1.945976, 0.003440
01SN3, H, 20.000000, 18.490532, 0.277767, 0.928175, 1.016133, 0.001211, 1.925409, 0.003519
B06b, H, 5.000000, 18.197023, 0.642830, 3.578183, 3.902349, 0.005248, 1.852427, 0.004985
B06b, H, 10.000000, 18.197023, 0.642830, 1.845358, 2.022392, 0.002319, 1.947997, 0.003740
B06b, H, 15.000000, 18.197023, 0.642830, 1.246391, 1.366242, 0.001561, 1.952326, 0.003618
B06b, H, 20.000000, 18.197023, 0.642830, 0.908551, 0.993357, 0.001246, 1.899167, 0.003640
01SN6, H, 5.000000, 17.278551, 0.041278, 3.450505, 3.779417, 0.004051, 1.936689, 0.004141
01SN6, H, 10.000000, 17.278551, 0.041278, 1.732864, 1.899878, 0.002491, 1.956284, 0.004213
01SN6, H, 15.000000, 17.278551, 0.041278, 1.149196, 1.259781, 0.001132, 1.953393, 0.002681
01SN6, H, 20.000000, 17.278551, 0.041278, 0.864763, 0.946999, 0.001245, 1.932396, 0.003833
03SN6, H, 5.000000, 16.810585, 0.128001, 3.332323, 3.646368, 0.004220, 1.914503, 0.004272
03SN6, H, 10.000000, 16.810585, 0.128001, 1.696815, 1.859864, 0.002272, 1.950963, 0.003870
03SN6, H, 15.000000, 16.810585, 0.128001, 1.118287, 1.225326, 0.001433, 1.943918, 0.003386
03SN6, H, 20.000000, 16.810585, 0.128001, 0.841986, 0.920556, 0.000865, 1.898440, 0.002685
B06b, H, 10.000000, 18.197023, 0.642830, 1.842620, 2.017481, 0.002599, 1.928046, 0.004012
B06b, H, 15.000000, 18.197023, 0.642830, 1.242737, 1.356559, 0.001711, 1.869886, 0.003637
B06b, H, 20.000000, 18.197023, 0.642830, 0.859775, 0.935010, 0.001109, 1.799631, 0.002866
01SN11, H, 5.000000, 16.052223, 0.278102, 3.142124, 3.426859, 0.003560, 1.852864, 0.003671
01SN11, H, 10.000000, 16.052223, 0.278102, 1.638870, 1.795674, 0.002575, 1.943052, 0.004547
01SN11, H, 15.000000, 16.052223, 0.278102, 1.072579, 1.174965, 0.001392, 1.938485, 0.003457
01SN11, H, 20.000000, 16.052223, 0.278102, 0.801405, 0.874854, 0.001225, 1.868644, 0.003929
01SN9, H, 5.000000, 15.893043, 0.264206, 3.161383, 3.447620, 0.003898, 1.851506, 0.003949
01SN9, H, 10.000000, 15.893043, 0.264206, 1.556070, 1.702249, 0.002270, 1.909813, 0.003895
01SN9, H, 15.000000, 15.893043, 0.264206, 1.073929, 1.173894, 0.001602, 1.893003, 0.003866
01SN9, H, 20.000000, 15.893043, 0.264206, 0.805109, 0.880299, 0.000934, 1.899353, 0.003068
03SN10, H, 5.000000, 17.370531, 0.115152, 3.479636, 3.817581, 0.004139, 1.971310, 0.004335
03SN10, H, 10.000000, 17.370531, 0.115152, 1.746415, 1.915069, 0.001977, 1.959812, 0.003318
03SN10, H, 15.000000, 17.370531, 0.115152, 1.146910, 1.256334, 0.001716, 1.938434, 0.003952
03SN10, H, 20.000000, 17.370531, 0.115152, 0.870864, 0.950980, 0.001299, 1.875691, 0.003878
03SN9, H, 5.000000, 15.741497, 0.271252, 3.145172, 3.430288, 0.002336, 1.853459, 0.002423
03SN9, H, 10.000000, 15.741497, 0.271252, 1.562385, 1.711317, 0.002187, 1.936785, 0.003819
03SN9, H, 15.000000, 15.741497, 0.271252, 1.075156, 1.177803, 0.001570, 1.938785, 0.003872
03SN9, H, 20.000000, 15.741497, 0.271252, 0.774799, 0.845851, 0.001299, 1.870581, 0.004191
B06b, H, 5.000000, 18.197023, 0.642830, 3.667717, 3.999955, 0.004803, 1.852248, 0.004630
B06b, H, 10.000000, 18.197023, 0.642830, 1.872507, 2.053211, 0.002507, 1.958964, 0.004091
B06b, H, 15.000000, 18.197023, 0.642830, 1.255132, 1.375816, 0.001951, 1.952196, 0.004404
B06b, H, 20.000000, 18.197023, 0.642830, 0.944353, 1.035153, 0.001326, 1.951897, 0.003964
03SN7, H, 5.000000, 16.690105, 0.158611, 3.332256, 3.634341, 0.003999, 1.853282, 0.004059
03SN7, H, 10.000000, 16.690105, 0.158611, 1.689712, 1.851830, 0.002218, 1.948166, 0.003734
03SN7, H, 15.000000, 16.690105, 0.158611, 1.100756, 1.200767, 0.001512, 1.856574, 0.003495
03SN7, H, 20.000000, 16.690105, 0.158611, 0.834647, 0.910204, 0.000877, 1.851049, 0.002634
B06b, H, 5.000000, 18.197023, 0.642830, 3.648925, 3.999062, 0.004670, 1.948415, 0.004742
B06b, H, 10.000000, 18.197023, 0.642830, 1.847236, 2.025314, 0.002216, 1.957041, 0.003579
B06b, H, 15.000000, 18.197023, 0.642830, 1.244839, 1.364618, 0.001711, 1.953523, 0.003917
B06b, H, 20.000000, 18.197023, 0.642830, 0.927233, 1.015319, 0.000965, 1.929845, 0.002850
B06b, H, 3.000000, 18.197023, 0.642830, 6.008408, 6.495088, 0.007900, 1.702446, 0.005603
B06b, H, 5.000000, 18.197023, 0.642830, 3.655893, 3.987185, 0.003362, 1.852856, 0.003257
B06b, H, 10.000000, 18.197023, 0.642830, 1.855126, 2.033550, 0.002287, 1.952717, 0.003701
B06b, H, 15.000000, 18.197023, 0.642830, 1.249848, 1.369402, 0.002319, 1.942459, 0.005243
SN005, H, 3.000000, 20.178610, 0.288891, 6.705192, 7.310919, 0.009471, 1.848050, 0.007158
SN005, H, 5.000000, 20.178610, 0.288891, 4.074388, 4.483505, 0.006163, 2.035745, 0.006345
SN005, H, 10.000000, 20.178610, 0.288891, 2.043258, 2.247702, 0.002603, 2.028172, 0.004160
SN005, H, 15.000000, 20.178610, 0.288891, 1.320035, 1.447136, 0.002488, 1.954481, 0.005390
SN006, H, 3.000000, 12.389376, 0.514762, 3.923302, 4.223990, 0.003806, 1.641129, 0.002680
SN006, H, 5.000000, 12.389376, 0.514762, 2.437868, 2.645608, 0.003685, 1.764389, 0.003949
SN006, H, 10.000000, 12.389376, 0.514762, 1.281381, 1.397485, 0.001740, 1.852594, 0.003448
SN006, H, 15.000000, 12.389376, 0.514762, 0.854427, 0.931484, 0.001760, 1.845173, 0.004975
SN007, H, 3.000000, 14.743940, 0.545856, 4.694360, 5.057323, 0.005095, 1.650180, 0.003502
SN007, H, 5.000000, 14.743940, 0.545856, 2.921355, 3.185472, 0.004451, 1.849225, 0.004600
SN007, H, 10.000000, 14.743940, 0.545856, 1.494429, 1.637334, 0.001879, 1.942060, 0.003387
SN007, H, 15.000000, 14.743940, 0.545856, 1.024791, 1.121583, 0.001964, 1.919302, 0.005217
SN008, H, 3.000000, 19.129168, 0.229456, 6.275025, 6.760499, 0.008967, 1.650865, 0.005940
SN008, H, 5.000000, 19.129168, 0.229456, 3.817135, 4.183528, 0.005033, 1.949058, 0.004977
SN008, H, 10.000000, 19.129168, 0.229456, 1.928469, 2.122361, 0.002511, 2.038913, 0.004077
SN008, H, 15.000000, 19.129168, 0.229456, 1.288357, 1.412631, 0.002087, 1.957997, 0.004808
SN009, H, 3.000000, 12.191993, 0.650450, 3.784581, 4.047093, 0.004543, 1.548569, 0.002874
SN009, H, 5.000000, 12.191993, 0.650450, 2.413988, 2.618155, 0.003138, 1.754841, 0.003322
SN009, H, 10.000000, 12.191993, 0.650450, 1.262880, 1.376688, 0.001616, 1.843961, 0.003109
SN009, H, 15.000000, 12.191993, 0.650450, 0.851141, 0.927774, 0.001986, 1.842588, 0.005656
SN010, H, 3.000000, 13.583605, 0.431929, 4.351725, 4.687988, 0.004443, 1.649510, 0.003028
SN010, H, 5.000000, 13.583605, 0.431929, 2.714138, 2.959410, 0.003620, 1.848466, 0.003810
SN010, H, 10.000000, 13.583605, 0.431929, 1.361803, 1.486408, 0.001930, 1.867333, 0.003570
SN010, H, 15.000000, 13.583605, 0.431929, 0.940741, 1.026376, 0.001289, 1.859724, 0.003505
SN011, H, 3.000000, 13.833918, 0.525482, 4.384115, 4.722899, 0.006111, 1.649570, 0.004156
SN011, H, 5.000000, 13.833918, 0.525482, 2.745639, 2.993850, 0.003847, 1.849065, 0.004052
SN011, H, 10.000000, 13.833918, 0.525482, 1.429163, 1.562061, 0.001441, 1.892837, 0.002678
SN011, H, 15.000000, 13.833918, 0.525482, 0.946218, 1.032097, 0.002178, 1.854985, 0.005798
SN012, H, 3.000000, 16.922848, 0.316226, 5.493196, 5.917763, 0.007843, 1.649799, 0.005180
SN012, H, 5.000000, 16.922848, 0.316226, 3.387221, 3.694813, 0.004384, 1.855856, 0.004362
SN012, H, 10.000000, 16.922848, 0.316226, 1.718191, 1.882639, 0.003030, 1.943886, 0.004947
SN012, H, 15.000000, 16.922848, 0.316226, 1.140173, 1.249298, 0.002117, 1.943909, 0.005043
B06b, H, 3.000000, 18.197023, 0.642830, 5.742969, 6.142045, 0.005873, 1.550055, 0.003573
B06b, H, 5.000000, 18.197023, 0.642830, 3.580080, 3.903770, 0.005549, 1.849276, 0.005242
B06b, H, 10.000000, 18.197023, 0.642830, 1.843368, 2.022276, 0.002643, 1.969601, 0.004443
B06b, H, 15.000000, 18.197023, 0.642830, 1.244986, 1.365263, 0.001625, 1.961113, 0.003853
B06b, H, 20.000000, 18.197023, 0.642830, 0.926184, 1.014205, 0.001231, 1.930579, 0.003739
SN013, H, 3.000000, 11.394917, 0.782516, 3.437147, 3.648474, 0.003886, 1.459042, 0.002385
SN013, H, 5.000000, 11.394917, 0.782516, 2.306167, 2.500608, 0.003883, 1.750921, 0.004294
SN013, H, 10.000000, 11.394917, 0.782516, 1.167278, 1.270344, 0.002105, 1.812307, 0.004189
SN013, H, 15.000000, 11.394917, 0.782516, 0.828938, 0.902994, 0.001360, 1.830369, 0.003931
SN013, H, 20.000000, 11.394917, 0.782516, 0.556619, 0.601721, 0.000774, 1.699474, 0.002747
SN014, H, 3.000000, 19.052315, 0.262188, 6.249244, 6.732917, 0.007495, 1.651302, 0.005004
SN014, H, 5.000000, 19.052315, 0.262188, 3.759389, 4.099647, 0.006146, 1.850881, 0.005746
SN014, H, 10.000000, 19.052315, 0.262188, 1.917595, 2.102641, 0.002372, 1.958565, 0.003805
SN014, H, 15.000000, 19.052315, 0.262188, 1.287180, 1.411308, 0.001841, 1.957525, 0.004223
SN014, H, 20.000000, 19.052315, 0.262188, 0.962023, 1.054887, 0.001206, 1.958932, 0.003545
SN015, H, 3.000000, 13.509093, 0.651731, 4.202062, 4.493617, 0.004413, 1.548718, 0.002698
SN015, H, 5.000000, 13.509093, 0.651731, 2.643303, 2.866272, 0.004394, 1.751648, 0.004456
SN015, H, 10.000000, 13.509093, 0.651731, 1.352493, 1.475190, 0.002215, 1.854321, 0.004018
SN015, H, 15.000000, 13.509093, 0.651731, 0.940876, 1.025849, 0.001479, 1.847286, 0.003901
SN015, H, 20.000000, 13.509093, 0.651731, 0.707362, 0.769591, 0.001028, 1.807297, 0.003479
B06b, H, 5.000000, 18.197023, 0.642830, 3.618021, 3.946108, 0.005186, 1.853952, 0.005020
B06b, H, 10.000000, 18.197023, 0.642830, 1.849643, 2.027570, 0.002515, 1.953031, 0.004100
B06b, H, 15.000000, 18.197023, 0.642830, 1.229622, 1.346100, 0.001743, 1.924661, 0.003926
B06b, H, 20.000000, 18.197023, 0.642830, 0.902042, 0.984545, 0.001559, 1.865532, 0.004418
SN016, H, 5.000000, 17.599684, 0.224717, 3.582163, 3.908409, 0.004836, 1.860787, 0.004715
SN016, H, 10.000000, 17.599684, 0.224717, 1.759643, 1.928643, 0.002568, 1.950072, 0.004176
SN016, H, 15.000000, 17.599684, 0.224717, 1.158567, 1.269577, 0.001785, 1.945905, 0.004187
SN016, H, 20.000000, 17.599684, 0.224717, 0.875864, 0.956509, 0.001454, 1.876995, 0.004274
SN017, H, 5.000000, 12.516972, 0.413133, 2.382651, 2.583840, 0.003701, 1.752776, 0.003950
SN017, H, 10.000000, 12.516972, 0.413133, 1.269234, 1.384481, 0.001926, 1.856009, 0.003902
SN017, H, 15.000000, 12.516972, 0.413133, 0.849299, 0.925670, 0.001311, 1.840646, 0.003721
SN017, H, 20.000000, 12.516972, 0.413133, 0.637152, 0.692551, 0.001140, 1.790063, 0.004212
SN018, H, 5.000000, 19.836813, 0.128017, 3.944609, 4.320891, 0.004881, 1.937963, 0.004714
SN018, H, 10.000000, 19.836813, 0.128017, 1.980613, 2.174560, 0.003025, 1.985294, 0.004741
SN018, H, 15.000000, 19.836813, 0.128017, 1.319871, 1.447162, 0.002205, 1.957370, 0.004896
SN018, H, 20.000000, 19.836813, 0.128017, 1.001062, 1.099030, 0.001573, 1.983056, 0.004636
SN021, H, 5.000000, 12.482305, 0.368259, 2.481394, 2.696392, 0.003488, 1.789128, 0.003666
SN021, H, 10.000000, 12.482305, 0.368259, 1.277414, 1.392546, 0.001851, 1.844184, 0.003510
SN021, H, 15.000000, 12.482305, 0.368259, 0.850879, 0.927095, 0.001300, 1.834813, 0.003591
SN021, H, 20.000000, 12.482305, 0.368259, 0.600057, 0.649153, 0.000926, 1.710698, 0.003226
SN023, H, 5.000000, 14.398775, 0.261557, 2.820546, 3.075373, 0.003668, 1.848197, 0.003763
SN023, H, 10.000000, 14.398775, 0.261557, 1.457969, 1.596906, 0.002445, 1.935501, 0.004572
SN023, H, 15.000000, 14.398775, 0.261557, 0.950917, 1.036962, 0.001186, 1.850244, 0.003075
SN023, H, 20.000000, 14.398775, 0.261557, 0.732803, 0.798609, 0.001199, 1.838152, 0.004138
SN024, H, 5.000000, 18.794512, 0.053717, 3.748062, 4.108173, 0.005386, 1.950780, 0.005598
SN024, H, 10.000000, 18.794512, 0.053717, 1.875649, 2.056378, 0.002727, 1.956089, 0.004401
SN024, H, 15.000000, 18.794512, 0.053717, 1.256035, 1.376553, 0.001050, 1.948257, 0.002371
SN024, H, 20.000000, 18.794512, 0.053717, 0.942047, 1.032380, 0.001228, 1.946914, 0.003685
SN025, H, 5.000000, 19.418318, 0.149297, 3.904168, 4.280260, 0.005243, 1.955422, 0.005349
SN025, H, 10.000000, 19.418318, 0.149297, 1.944526, 2.132986, 0.002892, 1.966289, 0.004625
SN025, H, 15.000000, 19.418318, 0.149297, 1.300519, 1.425913, 0.002011, 1.957100, 0.004561
SN025, H, 20.000000, 19.418318, 0.149297, 0.960054, 1.052431, 0.001372, 1.953175, 0.003991
SN027, H, 5.000000, 14.512416, 0.292462, 2.826851, 3.065590, 0.004191, 1.753020, 0.004176
SN027, H, 10.000000, 14.512416, 0.292462, 1.462810, 1.595780, 0.001987, 1.857767, 0.003544
SN027, H, 15.000000, 14.512416, 0.292462, 0.964825, 1.052676, 0.001225, 1.859811, 0.003149
SN027, H, 20.000000, 14.512416, 0.292462, 0.741188, 0.807883, 0.001177, 1.841302, 0.003978
B06b, H, 5.000000, 18.197023, 0.642830, 3.607131, 3.932981, 0.005943, 1.847886, 0.005481
B06b, H, 10.000000, 18.197023, 0.642830, 1.840408, 2.015858, 0.002679, 1.936399, 0.004244
B06b, H, 15.000000, 18.197023, 0.642830, 1.220979, 1.336095, 0.001991, 1.916279, 0.004420
B06b, H, 20.000000, 18.197023, 0.642830, 0.879856, 0.960936, 0.001395, 1.878319, 0.004048
SN028, H, 5.000000, 18.645508, 0.097013, 3.710759, 4.046735, 0.005901, 1.851468, 0.005601
SN028, H, 10.000000, 18.645508, 0.097013, 1.870798, 2.050445, 0.002744, 1.949749, 0.004298
SN028, H, 15.000000, 18.645508, 0.097013, 1.249898, 1.369303, 0.001685, 1.940067, 0.003743
SN028, H, 20.000000, 18.645508, 0.097013, 0.928626, 1.015311, 0.001044, 1.899223, 0.003004
SN029, H, 5.000000, 12.849592, 0.127471, 2.567304, 2.788758, 0.004111, 1.779702, 0.004357
SN029, H, 10.000000, 12.849592, 0.127471, 1.301397, 1.418945, 0.002055, 1.847663, 0.003820
SN029, H, 15.000000, 12.849592, 0.127471, 0.856485, 0.931542, 0.001138, 1.801698, 0.003049
SN029, H, 20.000000, 12.849592, 0.127471, 0.635124, 0.688166, 0.001061, 1.737744, 0.003693
B06b, H, 5.000000, 18.197023, 0.642830, 3.625429, 3.954103, 0.004428, 1.853544, 0.004284
B06b, H, 10.000000, 18.197023, 0.642830, 1.865030, 2.045131, 0.003023, 1.960210, 0.005015
B06b, H, 15.000000, 18.197023, 0.642830, 1.253770, 1.374212, 0.002118, 1.950471, 0.004867
B06b, H, 20.000000, 18.197023, 0.642830, 0.948375, 1.039492, 0.001536, 1.950468, 0.004613
SN030, H, 5.000000, 13.195502, 0.624414, 2.574641, 2.792275, 0.004101, 1.754419, 0.004208
SN030, H, 10.000000, 13.195502, 0.624414, 1.263766, 1.381297, 0.002015, 1.892251, 0.004234
SN030, H, 15.000000, 13.195502, 0.624414, 0.938831, 1.024066, 0.001666, 1.855568, 0.004501
SN030, H, 20.000000, 13.195502, 0.624414, 0.661670, 0.718148, 0.001186, 1.765964, 0.003938
SN031, H, 5.000000, 20.254229, 1.162183, 4.096223, 4.488576, 0.005295, 1.945109, 0.005075
SN031, H, 10.000000, 20.254229, 1.162183, 1.865789, 2.049119, 0.002815, 1.991570, 0.004697
SN031, H, 15.000000, 20.254229, 1.162183, 1.377178, 1.513519, 0.001918, 2.006190, 0.004196
SN031, H, 20.000000, 20.254229, 1.162183, 1.065946, 1.173101, 0.001604, 2.037728, 0.004620
SN032, H, 5.000000, 20.173958, 1.038927, 4.065557, 4.452863, 0.006146, 1.935178, 0.005809
SN032, H, 10.000000, 20.173958, 1.038927, 1.878720, 2.068244, 0.002065, 2.045640, 0.003584
SN032, H, 15.000000, 20.173958, 1.038927, 1.360859, 1.497534, 0.002050, 2.036749, 0.004618
SN032, H, 20.000000, 20.173958, 1.038927, 1.062375, 1.169246, 0.001190, 2.039242, 0.003500
SN034, H, 5.000000, 18.118299, 1.070265, 3.598653, 3.925296, 0.005440, 1.855461, 0.005225
SN034, H, 10.000000, 18.118299, 1.070265, 1.670900, 1.831951, 0.002405, 1.956709, 0.004289
SN034, H, 15.000000, 18.118299, 1.070265, 1.262207, 1.386356, 0.001905, 1.992696, 0.004537
SN034, H, 20.000000, 18.118299, 1.070265, 0.946580, 1.038214, 0.001290, 1.964382, 0.004003
SN035, H, 5.000000, 19.216330, 1.164278, 3.831771, 4.199310, 0.005598, 1.947822, 0.005425
SN035, H, 10.000000, 19.216330, 1.164278, 1.768280, 1.944971, 0.002380, 2.026186, 0.004213
SN035, H, 15.000000, 19.216330, 1.164278, 1.319303, 1.452186, 0.002152, 2.042522, 0.004947
SN035, H, 20.000000, 19.216330, 1.164278, 1.016940, 1.117956, 0.001545, 2.012917, 0.004646
SN036, H, 5.000000, 18.858431, 0.981413, 3.774937, 4.137404, 0.005386, 1.949656, 0.005416
SN036, H, 10.000000, 18.858431, 0.981413, 1.751762, 1.928058, 0.002563, 2.040947, 0.004655
SN036, H, 15.000000, 18.858431, 0.981413, 1.299024, 1.429907, 0.002085, 2.042994, 0.004876
SN036, H, 20.000000, 18.858431, 0.981413, 0.981587, 1.077572, 0.001323, 1.982522, 0.003963
SN037, H, 5.000000, 13.166790, 0.536848, 2.639466, 2.877845, 0.003719, 1.847467, 0.004027
SN037, H, 10.000000, 13.166790, 0.536848, 1.267264, 1.388284, 0.002009, 1.939373, 0.004325
SN037, H, 15.000000, 13.166790, 0.536848, 0.928223, 1.013377, 0.001451, 1.872190, 0.004033
SN037, H, 20.000000, 13.166790, 0.536848, 0.645347, 0.700098, 0.000968, 1.758383, 0.003296
B06b, H, 5.000000, 18.197023, 0.642830, 3.570909, 3.895217, 0.004708, 1.856316, 0.004550
B06b, H, 10.000000, 18.197023, 0.642830, 1.845216, 2.023058, 0.003129, 1.956602, 0.005142
B06b, H, 15.000000, 18.197023, 0.642830, 1.184651, 1.294568, 0.001833, 1.889195, 0.004069
B06b, H, 20.000000, 18.197023, 0.642830, 0.864611, 0.943314, 0.001282, 1.859324, 0.003697
SN038, H, 5.000000, 14.067439, 0.325488, 2.735068, 2.965666, 0.003452, 1.750958, 0.003431
SN038, H, 10.000000, 14.067439, 0.325488, 1.442786, 1.574015, 0.002008, 1.858716, 0.003605
SN038, H, 15.000000, 14.067439, 0.325488, 0.947729, 1.033005, 0.001354, 1.841601, 0.003411
SN038, H, 20.000000, 14.067439, 0.325488, 0.698096, 0.759201, 0.001016, 1.799871, 0.003380
SN039, H, 5.000000, 19.625612, 0.289780, 3.894389, 4.247401, 0.005996, 1.853168, 0.005464
SN039, H, 10.000000, 19.625612, 0.289780, 1.974119, 2.170922, 0.002698, 2.021341, 0.004367
SN039, H, 15.000000, 19.625612, 0.289780, 1.331692, 1.463622, 0.001700, 2.006789, 0.003777
SN039, H, 20.000000, 19.625612, 0.289780, 0.966018, 1.058967, 0.001445, 1.953203, 0.004133
SN040, H, 5.000000, 15.523771, 0.242169, 3.088424, 3.368054, 0.004393, 1.851495, 0.004462
SN040, H, 10.000000, 15.523771, 0.242169, 1.532926, 1.676788, 0.002009, 1.907822, 0.003498
SN040, H, 15.000000, 15.523771, 0.242169, 1.058771, 1.157235, 0.001502, 1.891808, 0.003753
SN040, H, 20.000000, 15.523771, 0.242169, 0.772391, 0.843175, 0.001123, 1.869497, 0.003698
SN041, H, 5.000000, 12.608932, 0.332702, 2.431370, 2.636582, 0.003723, 1.752272, 0.003888
SN041, H, 10.000000, 12.608932, 0.332702, 1.261166, 1.374255, 0.001551, 1.836108, 0.002886
SN041, H, 15.000000, 12.608932, 0.332702, 0.850056, 0.926149, 0.001224, 1.833794, 0.003396
SN041, H, 20.000000, 12.608932, 0.332702, 0.646474, 0.702718, 0.000785, 1.790762, 0.002850
SN042, H, 5.000000, 14.462818, 0.347138, 2.809913, 3.047128, 0.004114, 1.752536, 0.004112
SN042, H, 10.000000, 14.462818, 0.347138, 1.444725, 1.576833, 0.001778, 1.867227, 0.003227
SN042, H, 15.000000, 14.462818, 0.347138, 0.964467, 1.052645, 0.001349, 1.866097, 0.003535
SN042, H, 20.000000, 14.462818, 0.347138, 0.744997, 0.812518, 0.001067, 1.852500, 0.003664
SN043, H, 5.000000, 14.733086, 0.344217, 2.851658, 3.109442, 0.004207, 1.849043, 0.004369
SN043, H, 10.000000, 14.733086, 0.344217, 1.472143, 1.606076, 0.001964, 1.859083, 0.003530
SN043, H, 15.000000, 14.733086, 0.344217, 0.998058, 1.091160, 0.001385, 1.898093, 0.003660
SN043, H, 20.000000, 14.733086, 0.344217, 0.749687, 0.817620, 0.000794, 1.852132, 0.002669
SN044, H, 5.000000, 14.582535, 0.245338, 2.849502, 3.106796, 0.003992, 1.847349, 0.004030
SN044, H, 10.000000, 14.582535, 0.245338, 1.474241, 1.611490, 0.001745, 1.894231, 0.003176
SN044, H, 15.000000, 14.582535, 0.245338, 0.970830, 1.059922, 0.001267, 1.871873, 0.003323
SN044, H, 20.000000, 14.582535, 0.245338, 0.739196, 0.805627, 0.001034, 1.839322, 0.003474
