foil_ID, species, incident energy [keV], kF [keV*degrees], sig_kF [keV*degrees], psi_half [degrees], sigma [degrees], sig_sigma [degrees], kappa, sig_kappa
C111, H, 20.000000, 16.890278, 0.245094, 0.857595, 0.937738, 0.001853, 1.900869, 0.005862
C112, H, 5.000000, 19.972023, 0.640029, 3.894934, 4.248453, 0.003780, 1.855119, 0.003430
C112, H, 10.000000, 19.972023, 0.640029, 1.964106, 2.154182, 0.002775, 1.963693, 0.004180
C112, H, 15.000000, 19.972023, 0.640029, 1.292019, 1.415754, 0.002432, 1.944746, 0.005160
C112, H, 20.000000, 19.972023, 0.640029, 0.963362, 1.055889, 0.002315, 1.949963, 0.006660
C113, H, 5.000000, 16.647467, 0.287055, 3.253049, 3.547434, 0.002181, 1.850659, 0.002112
C113, H, 10.000000, 16.647467, 0.287055, 1.669108, 1.829065, 0.002408, 1.946011, 0.004132
C113, H, 15.000000, 16.647467, 0.287055, 1.112213, 1.218606, 0.001872, 1.942774, 0.004535
C113, H, 20.000000, 16.647467, 0.287055, 0.847887, 0.927064, 0.002178, 1.899610, 0.006993
C114, H, 5.000000, 17.466614, 0.067139, 3.481943, 3.803543, 0.003423, 1.883405, 0.003212
C114, H, 10.000000, 17.466614, 0.067139, 1.754620, 1.922863, 0.002447, 1.947181, 0.004003
C114, H, 15.000000, 17.466614, 0.067139, 1.160824, 1.269795, 0.001699, 1.908124, 0.003824
C114, H, 20.000000, 17.466614, 0.067139, 0.874927, 0.955500, 0.001709, 1.877282, 0.005140
C115, H, 5.000000, 19.357712, 0.218198, 3.822722, 4.168628, 0.004310, 1.850501, 0.003858
C115, H, 10.000000, 19.357712, 0.218198, 1.946190, 2.133392, 0.002604, 1.952787, 0.003953
C115, H, 15.000000, 19.357712, 0.218198, 1.307048, 1.432591, 0.002312, 1.950130, 0.004961
C115, H, 20.000000, 19.357712, 0.218198, 0.962665, 1.055006, 0.001905, 1.947688, 0.005497
C116, H, 5.000000, 17.471212, 0.298141, 3.547761, 3.871355, 0.002936, 1.863041, 0.002754
C116, H, 10.000000, 17.471212, 0.298141, 1.762002, 1.929909, 0.002628, 1.936203, 0.004196
C116, H, 15.000000, 17.471212, 0.298141, 1.164987, 1.274413, 0.002309, 1.909244, 0.005211
C116, H, 20.000000, 17.471212, 0.298141, 0.852941, 0.929927, 0.002255, 1.846389, 0.006413
C117, H, 5.000000, 21.248625, 0.259589, 4.191838, 4.597142, 0.004306, 1.961606, 0.004225
C117, H, 10.000000, 21.248625, 0.259589, 2.116091, 2.329747, 0.002034, 2.047435, 0.003169
C117, H, 15.000000, 21.248625, 0.259589, 1.438524, 1.582913, 0.002418, 2.034797, 0.005359
C117, H, 20.000000, 21.248625, 0.259589, 1.065065, 1.169790, 0.002219, 1.991509, 0.006346
C131, H, 5.000000, 18.791479, 0.242026, 3.694315, 4.048839, 0.003439, 1.948592, 0.003335
C131, H, 10.000000, 18.791479, 0.242026, 1.884536, 2.066158, 0.002364, 1.956429, 0.003758
C131, H, 15.000000, 18.791479, 0.242026, 1.270359, 1.393001, 0.002184, 1.959750, 0.005075
C131, H, 20.000000, 18.791479, 0.242026, 0.939913, 1.029426, 0.002504, 1.934469, 0.007334
C132, H, 5.000000, 16.801167, 0.237956, 3.294016, 3.610078, 0.003746, 1.948363, 0.003793
C132, H, 10.000000, 16.801167, 0.237956, 1.679602, 1.840874, 0.002235, 1.949581, 0.003811
C132, H, 15.000000, 16.801167, 0.237956, 1.130521, 1.239486, 0.002045, 1.956164, 0.005091
C132, H, 20.000000, 16.801167, 0.237956, 0.849289, 0.930246, 0.001896, 1.936248, 0.006106
C121, H, 5.000000, 12.720984, 0.396758, 2.432572, 2.639922, 0.003172, 1.764733, 0.003353
C121, H, 10.000000, 12.720984, 0.396758, 1.282685, 1.398938, 0.002121, 1.853007, 0.004125
C121, H, 15.000000, 12.720984, 0.396758, 0.855845, 0.932834, 0.001808, 1.841357, 0.005073
C121, H, 20.000000, 12.720984, 0.396758, 0.653748, 0.712496, 0.001581, 1.839305, 0.005969
C122, H, 5.000000, 13.353624, 0.388437, 2.583492, 2.800598, 0.003126, 1.746643, 0.003027
C122, H, 10.000000, 13.353624, 0.388437, 1.335564, 1.456198, 0.002346, 1.847774, 0.004218
C122, H, 15.000000, 13.353624, 0.388437, 0.924366, 1.006741, 0.001703, 1.826621, 0.004432
C122, H, 20.000000, 13.353624, 0.388437, 0.664644, 0.721280, 0.001185, 1.763693, 0.004012
C123, H, 5.000000, 18.627527, 0.217552, 3.661353, 3.993111, 0.004075, 1.852717, 0.003872
C123, H, 10.000000, 18.627527, 0.217552, 1.870065, 2.049814, 0.002744, 1.951542, 0.004306
C123, H, 15.000000, 18.627527, 0.217552, 1.249074, 1.367935, 0.002723, 1.932814, 0.005859
C123, H, 20.000000, 18.627527, 0.217552, 0.938518, 1.026174, 0.002629, 1.900103, 0.007482
C124, H, 5.000000, 18.160940, 0.565543, 3.550370, 3.887423, 0.003851, 1.928883, 0.003756
C124, H, 10.000000, 18.160940, 0.565543, 1.760927, 1.930985, 0.002278, 1.959905, 0.003711
C124, H, 15.000000, 18.160940, 0.565543, 1.244190, 1.363986, 0.002469, 1.954785, 0.005720
C124, H, 20.000000, 18.160940, 0.565543, 0.932310, 1.021500, 0.001914, 1.942655, 0.005899
C125, H, 5.000000, 18.557018, 0.398135, 3.599730, 3.926687, 0.003790, 1.856510, 0.003598
C125, H, 10.000000, 18.557018, 0.398135, 1.858938, 2.038553, 0.002863, 1.961284, 0.004650
C125, H, 15.000000, 18.557018, 0.398135, 1.250269, 1.370771, 0.002691, 1.956669, 0.006213
C125, H, 20.000000, 18.557018, 0.398135, 0.944937, 1.035960, 0.001834, 1.955266, 0.005601
C126, H, 5.000000, 19.037374, 0.311227, 3.740950, 4.100191, 0.003523, 1.949841, 0.003489
C126, H, 10.000000, 19.037374, 0.311227, 1.884459, 2.065797, 0.003169, 1.953617, 0.004975
C126, H, 15.000000, 19.037374, 0.311227, 1.287821, 1.417518, 0.003124, 2.041965, 0.007401
C126, H, 20.000000, 19.037374, 0.311227, 0.964523, 1.058256, 0.002523, 1.971162, 0.007680
C127, H, 5.000000, 16.331944, 0.337222, 3.178647, 3.466272, 0.003290, 1.850529, 0.003198
C127, H, 10.000000, 16.331944, 0.337222, 1.632661, 1.787422, 0.002512, 1.926008, 0.004246
C127, H, 15.000000, 16.331944, 0.337222, 1.094138, 1.198816, 0.002118, 1.942796, 0.005179
C127, H, 20.000000, 16.331944, 0.337222, 0.835313, 0.914658, 0.001805, 1.929629, 0.005908
C133, H, 5.000000, 16.709009, 0.363794, 3.264272, 3.559673, 0.003917, 1.850657, 0.003782
C133, H, 10.000000, 16.709009, 0.363794, 1.677498, 1.838044, 0.002789, 1.943563, 0.004615
C133, H, 15.000000, 16.709009, 0.363794, 1.135906, 1.245166, 0.002915, 1.952577, 0.007135
C136, H, 5.000000, 18.651907, 0.279722, 3.657370, 3.988754, 0.003608, 1.852657, 0.003408
C136, H, 10.000000, 18.651907, 0.279722, 1.858653, 2.036712, 0.003013, 1.945371, 0.004675
C136, H, 15.000000, 18.651907, 0.279722, 1.257228, 1.378360, 0.002341, 1.956021, 0.005407
C136, H, 20.000000, 18.651907, 0.279722, 0.944105, 1.034640, 0.001767, 1.947031, 0.005346
C112, H, 5.000000, 19.972023, 0.640029, 4.056898, 4.444221, 0.004508, 1.939187, 0.004220
C112, H, 10.000000, 19.972023, 0.640029, 2.060712, 2.260037, 0.002495, 1.963396, 0.003712
