[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=127
YRANGE=127
NAME=a_1 x a_2
XTITLE=a_1
YTITLE=a_2

[DATA]
27	5	1
28	5	6
29	5	14
30	5	20
31	5	6
32	5	1
24	6	2
25	6	5
26	6	1
27	6	5
28	6	45
29	6	111
30	6	92
31	6	37
32	6	9
33	6	2
22	7	1
23	7	4
24	7	1
25	7	2
26	7	1
27	7	11
28	7	28
29	7	72
30	7	55
31	7	15
32	7	4
33	7	1
34	7	1
36	7	4
37	7	1
39	7	1
18	8	1
19	8	1
22	8	1
23	8	1
25	8	2
26	8	1
27	8	6
28	8	13
29	8	17
30	8	21
31	8	4
32	8	2
34	8	2
36	8	2
37	8	1
38	8	1
17	9	2
18	9	2
20	9	1
21	9	1
23	9	2
28	9	2
29	9	5
30	9	7
31	9	2
34	9	3
35	9	2
36	9	2
37	9	1
40	9	1
41	9	2
42	9	1
15	10	1
16	10	2
19	10	1
20	10	1
21	10	1
22	10	1
26	10	1
27	10	1
28	10	2
29	10	2
31	10	1
33	10	1
34	10	1
36	10	1
38	10	1
39	10	1
41	10	2
42	10	1
13	11	1
23	11	2
24	11	1
25	11	1
26	11	2
27	11	1
29	11	3
32	11	1
33	11	1
36	11	2
37	11	3
39	11	2
41	11	1
42	11	1
43	11	3
44	11	2
19	12	3
20	12	3
21	12	1
24	12	2
26	12	1
27	12	1
28	12	1
29	12	10
30	12	11
35	12	1
36	12	2
37	12	1
38	12	2
39	12	2
41	12	2
43	12	1
44	12	1
45	12	2
46	12	1
12	13	2
13	13	2
14	13	1
15	13	1
17	13	1
20	13	1
21	13	1
23	13	1
25	13	1
26	13	1
27	13	5
28	13	7
29	13	7
30	13	4
31	13	1
39	13	2
41	13	1
42	13	1
43	13	1
45	13	2
46	13	4
10	14	1
11	14	2
12	14	3
13	14	1
15	14	1
16	14	1
20	14	1
21	14	1
23	14	1
24	14	2
25	14	1
26	14	1
28	14	1
29	14	2
30	14	2
33	14	1
35	14	1
37	14	1
38	14	1
40	14	2
41	14	2
42	14	2
44	14	3
45	14	1
46	14	3
47	14	2
12	15	1
14	15	1
15	15	1
16	15	3
17	15	1
18	15	2
24	15	2
27	15	1
29	15	1
30	15	2
34	15	3
36	15	1
39	15	1
41	15	1
42	15	3
43	15	2
45	15	2
46	15	2
47	15	6
48	15	2
10	16	1
11	16	2
12	16	4
13	16	1
14	16	3
16	16	2
17	16	1
18	16	1
20	16	1
31	16	1
34	16	1
35	16	1
36	16	2
38	16	2
39	16	1
40	16	5
42	16	1
46	16	3
47	16	5
48	16	4
9	17	1
10	17	4
12	17	1
13	17	1
14	17	1
15	17	1
16	17	1
17	17	1
18	17	1
21	17	1
22	17	2
23	17	1
27	17	1
29	17	1
30	17	2
31	17	2
33	17	1
34	17	1
35	17	1
36	17	3
38	17	2
40	17	1
42	17	2
43	17	1
45	17	1
46	17	3
