[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=127
YRANGE=127
NAME=a_1 x a_2
XTITLE=a_1
YTITLE=a_2

[DATA]
28	5	1
29	5	2
28	6	1
29	6	4
30	6	2
27	7	1
29	7	1
30	7	1
35	7	1
28	8	1
30	8	1
17	9	1
43	11	1
28	12	1
30	12	2
12	13	1
17	15	1
25	15	1
36	16	1
38	17	1
27	18	1
40	19	1
24	21	1
45	21	1
6	22	1
40	22	1
11	24	1
12	24	1
14	25	1
26	26	1
29	26	3
30	26	3
22	27	1
24	27	1
28	27	3
29	27	16
30	27	5
40	27	1
44	27	2
46	27	1
48	27	1
27	28	1
28	28	1
29	28	7
30	28	2
51	28	1
35	29	1
41	29	1
18	30	1
25	30	1
32	31	1
44	31	1
14	32	1
43	32	1
16	33	1
21	33	1
9	34	1
11	34	1
40	34	1
49	34	1
51	34	1
41	35	1
44	35	1
50	35	1
51	35	2
46	36	1
48	36	2
46	37	2
49	37	1
33	38	1
41	38	1
48	38	1
14	39	1
27	39	1
31	39	1
40	39	1
46	39	1
47	39	2
49	39	1
18	40	1
42	40	1
47	40	1
48	40	2
46	41	1
47	41	1
48	41	1
46	42	2
17	43	1
29	43	1
42	43	1
18	45	1
20	45	1
40	45	1
14	46	1
30	47	1
20	50	1
31	50	1
